"village";"slug";"code_postal";"coordonnees";"region";"country";"year"
"Seborga";"seborga";"NULL";"43.825803,7.694708";"Liguria";"Italia";"NULL"
"Sepino";"sepino";"NULL";"41.40778,14.618747";"Molise";"Italia";"NULL"
"Servigliano";"servigliano";"NULL";"43.080741,13.492136";"Marche";"Italia";"NULL"
"Sesto al Reghena";"sesto al reghena";"NULL";"45.847029,12.815548";"Friuli Venezia Giulia";"Italia";"NULL"
"Soncino";"soncino";"NULL";"45.4011111,9.8709629";"Lombardia";"Italia";"NULL"
"Sovana";"sovana";"NULL";"42.6577,11.636";"Toscana";"Italia";"NULL"
"Specchia";"specchia";"NULL";"39.9383,18.29843";"Puglia";"Italia";"NULL"
"Spello";"spello";"NULL";"42.99107992976,12.67245054245";"Umbria";"Italia";"NULL"
"Sperlinga";"sperlinga";"NULL";"37.766677,14.3508074";"Sicilia";"Italia";"NULL"
"Sperlonga";"sperlonga";"NULL";"41.25792,13.43436";"Lazio";"Italia";"NULL"
"Stilo";"stilo";"NULL";"38.47812,16.46926";"Calabria";"Italia";"NULL"
"Stroncone";"stroncone";"NULL";"42.499187404058,12.66338467598";"Umbria";"Italia";"NULL"
"Subiaco";"subiaco";"NULL";"41.924456,13.09615";"Lazio";"Italia";"NULL"
"Sutera";"sutera";"NULL";"37.527766,13.731855";"Sicilia";"Italia";"NULL"
"Suvereto";"suvereto";"NULL";"43.07846,10.67935";"Toscana";"Italia";"NULL"
"Tagliacozzo";"tagliacozzo";"NULL";"42.0688,13.25697";"Abruzzo";"Italia";"NULL"
"Tellaro";"tellaro";"NULL";"44.0597,9.93688";"Liguria";"Italia";"NULL"
"Torgiano";"torgiano";"NULL";"43.025788406071,12.433873414993";"Umbria";"Italia";"NULL"
"Torre Alfina";"torre alfina";"NULL";"42.755126811735,11.944477558136";"Lazio";"Italia";"NULL"
"Travesio Borgo di Toppo";"travesio borgo di toppo";"NULL";"46.074183,13.120193";"Friuli Venezia Giulia";"Italia";"NULL"
"Treia";"treia";"NULL";"43.31182199321,13.311266899109";"Marche";"Italia";"NULL"
"Tremezzina borgo di Tremezzo";"tremezzina borgo di tremezzo";"NULL";"45.984393952797,9.2203617095947";"Lombardia";"Italia";"NULL"
"Tremosine sul Garda";"tremosine sul garda";"NULL";"45.7715586,10.7601975";"Lombardia";"Italia";"NULL"
"Trevi";"trevi";"NULL";"42.87664,12.74522";"Umbria";"Italia";"NULL"
"Triora";"triora";"NULL";"43.99232,7.76673";"Liguria";"Italia";"NULL"
"Trivignano Udinese Borgo di Clauiano";"trivignano udinese borgo di clauiano";"NULL";"45.90664,13.3107";"Friuli Venezia Giulia";"Italia";"NULL"
"Usseaux";"usseaux";"NULL";"45.0486092,7.0266968";"Piemonte";"Italia";"NULL"
"Vallo di Nera";"vallo di nera";"NULL";"42.75574,12.86526";"Umbria";"Italia";"NULL"
"Valvasone Arzene borgo di Valvasone";"valvasone arzene borgo di valvasone";"NULL";"45.996007589496,12.869045734406";"Friuli Venezia Giulia";"Italia";"NULL"
"Varese Ligure";"varese ligure";"NULL";"44.377697181369,9.5945513248444";"Liguria";"Italia";"NULL"
"Venosa";"venosa";"NULL";"40.96241,15.8157";"Basilicata";"Italia";"NULL"
"Venzone";"venzone";"NULL";"46.334077,13.139616";"Friuli Venezia Giulia";"Italia";"NULL"
"Vernazza";"vernazza";"NULL";"44.1362592,9.6850185";"Liguria";"Italia";"NULL"
"Vico del Gargano";"vico del gargano";"NULL";"41.894434983277,15.957984924316";"Puglia";"Italia";"NULL"
"Viggianello";"viggianello";"NULL";"39.973897,16.083294";"Basilicata";"Italia";"NULL"
"Vigoleno";"vigoleno";"NULL";"44.8166,9.90174";"Emilia Romagna";"Italia";"NULL"
"Villalago";"villalago";"NULL";"41.935974145384,13.83593916893";"Abruzzo";"Italia";"NULL"
"Vipiteno";"vipiteno";"NULL";"46.89915,11.4312";"Trentino Alto Adige";"Italia";"NULL"
"Visso";"visso";"NULL";"42.9303,13.0887";"Marche";"Italia";"NULL"
"Vogogna";"vogogna";"NULL";"46.01045,8.29096";"Piemonte";"Italia";"NULL"
"Volpedo";"volpedo";"NULL";"44.89141,8.98217";"Piemonte";"Italia";"NULL"
"Zavattarello";"zavattarello";"NULL";"44.86841,9.26525";"Lombardia";"Italia";"NULL"
"Zuccarello";"zuccarello";"NULL";"44.111261676764,8.1156027317047";"Liguria";"Italia";"NULL"
"Zungoli";"zungoli";"NULL";"41.070342,15.200721";"Campania";"Italia";"NULL"
