village;slug;code_postal;coordonnees;region;country;year
Cervo;cervo;;43.92725,8.11522;Liguria;Italia;
Castelvecchio;castelvecchio;;44.13064,8.11656;Liguria;Italia;
"Campo Ligure";"campo ligure";;44.536768138018,8.7009358406067;Liguria;Italia;
Brugnato;brugnato;;44.236644194241,9.7217631340027;Liguria;Italia;
"Borgio Verezzi";"borgio verezzi";;44.158517256382,8.30925822258;Liguria;Italia;
Volpedo;volpedo;;44.89141,8.98217;Piemonte;Italia;
Apricale;apricale;;43.881934,7.656083;Liguria;Italia;
Vogogna;vogogna;;46.01045,8.29096;Piemonte;Italia;
Usseaux;usseaux;;45.0486092,7.0266968;Piemonte;Italia;
"Ricetto di Candelo";"ricetto di candelo";;45.54477,8.10961;Piemonte;Italia;
Ostana;ostana;;44.692942269851,7.1872365474701;Piemonte;Italia;
"Orta San Giulio";"orta san giulio";;45.79932,8.41945;Piemonte;Italia;
Neive;neive;;44.72746,8.11346;Piemonte;Italia;
Mombaldone;mombaldone;;44.57187,8.33653;Piemonte;Italia;
